,KodeEmiten,NamaEmiten
0,AALI,Astra Agro Lestari Tbk
1,ABBA,Mahaka Media Tbk
2,ABDA,Asuransi Bina Dana Arta Tbk
3,ABMM,ABM Investama Tbk
4,ACES,Ace Hardware Indonesia Tbk
5,ACST,PT Acset Indonusa Tbk.
6,ADCP,PT Adhi Commuter Properti Tbk
7,ADES,Akasha Wira International Tbk  Tbk
8,ADHI,PT Adhi Karya (Persero) Tbk.
9,ADMF,Adira Dinamika Multi Finance Tbk
10,ADMG,Polychem Indonesia Tbk
11,ADMR,PT Adaro Minerals Indonesia Tbk
12,ADRO,Adaro Energy Indonesia Tbk
13,AGAR,PT Asia Sejahtera Mina Tbk
14,AGII,PT Aneka Gas Industri Tbk.
15,AGRO,PT Bank Raya Indonesia Tbk
16,AGRS,PT Bank IBK Indonesia Tbk.
17,AHAP,Asuransi Harta Aman Pratama Tbk
18,AIMS,Akbar Indomakmur Stimec Tbk
19,AISA,PT FKS Food Sejahtera Tbk
20,AKKU,PT Anugerah Kagum Karya Utama Tbk
21,AKPI,Argha Karya Prima Ind. Tbk
22,AKRA,PT AKR Corporindo Tbk.
23,AKSI,PT Mineral Sumberdaya Mandiri Tbk
24,ALDO,Alkindo Naratama Tbk
25,ALKA,Alakasa Industrindo Tbk
26,ALMI,Alumindo Light Metal Industry Tbk
27,ALTO,Tri Banyan Tirta Tbk
28,AMAG,Asuransi Multi Artha Guna Tbk
29,AMAN,PT Makmur Berkah Amanda Tbk.
30,AMAR,PT Bank Amar Indonesia Tbk.
31,AMFG,Asahimas Flat Glass Tbk
32,AMIN,PT Ateliers Mecaniques D Indonesie Tbk.
33,AMMS,PT Agung Menjangan Mas Tbk
34,AMOR,PT Ashmore Asset Management Indonesia Tbk.
35,AMRT,PT Sumber Alfaria Trijaya Tbk.
36,ANDI,PT Andira Agro Tbk
37,ANJT,PT Austindo Nusantara Jaya Tbk.
38,ANTM,Aneka Tambang Tbk.
39,APEX,Apexindo Pratama Duta Tbk
40,APIC,PACIFIC STRATEGIC FINANCIAL Tbk
41,APII,PT Arita Prima Indonesia Tbk.
42,APLI,Asiaplast Industries Tbk
43,APLN,PT Agung Podomoro Land Tbk.
44,ARCI,PT Archi Indonesia Tbk
45,ARGO,Argo Pantes Tbk
46,ARII,Atlas Resources Tbk
47,ARKA,PT Arkha Jayanti Persada Tbk.
48,ARKO,PT Arkora Hydro Tbk.
49,ARMY,PT Armidian Karyatama Tbk
50,ARNA,Arwana Citramulia Tbk
51,ARTA,Arthavest Tbk
52,ARTI,Ratu Prabu Energi Tbk
53,ARTO,PT Bank Jago Tbk.
54,ASBI,Asuransi Bintang Tbk
55,ASDM,Asuransi Dayin Mitra Tbk
56,ASGR,Astra Graphia Tbk
57,ASHA,PT Cilacap Samudera Fishing Industry Tbk
58,ASII,Astra International Tbk
59,ASJT,Asuransi Jasa Tania Tbk
60,ASLC,PT Autopedia Sukses Lestari Tbk
61,ASMI,PT Asuransi Maximus Graha Persada Tbk.
62,ASPI,PT Andalan Sakti Primaindo Tbk.
63,ASRI,ALAM SUTERA REALTY Tbk
64,ASRM,Asuransi Ramayana Tbk
65,ASSA,Adi Sarana Armada Tbk
66,ATAP,PT Trimitra Prawara Goldland Tbk 
67,ATIC,PT Anabatic Technologies Tbk
68,ATPK,Bara Jaya Internasional Tbk
69,AUTO,Astra Otoparts Tbk
70,AVIA,PT Avia Avian Tbk
71,AXIO,PT Tera Data Indonusa Tbk
72,AYLS,PT Agro Yasa Lestari Tbk
73,BABP,PT Bank MNC Internasional Tbk.
74,BACA,PT Bank Capital Indonesia Tbk
75,BAJA,Saranacentral Bajatama Tbk
76,BALI,PT Bali Towerindo Sentra Tbk. 
77,BANK,PT Bank Aladin Syariah Tbk
78,BAPA,Bekasi Asri Pemula Tbk
79,BAPI,PT Bhakti Agung Propertindo Tbk.
80,BATA,Sepatu Bata Tbk
81,BAUT,PT Mitra Angkasa Sejahtera Tbk
82,BAYU,Bayu Buana Tbk
83,BBCA,PT Bank Central Asia Tbk.
84,BBHI,PT Allo Bank Indonesia Tbk
85,BBKP,PT Bank KB Bukopin Tbk
86,BBLD,Buana Finance Tbk
87,BBMD,PT Bank Mestika Dharma Tbk.
88,BBNI,PT Bank Negara Indonesia (Persero) Tbk
89,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk
90,BBRM,Pelayaran Nasional Bina Buana Raya Tbk
91,BBSI,PT Bank Bisnis Internasional Tbk.
92,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk
93,BBTN,PT Bank Tabungan Negara (Persero) Tbk
94,BBYB,PT Bank Neo Commerce Tbk.
95,BCAP,MNC Kapital Indonesia Tbk
96,BCIC,PT Bank JTrust Indonesia Tbk. 
97,BCIP,Bumi Citra Permai Tbk
98,BDMN,PT Bank Danamon Indonesia Tbk
99,BEBS,PT Berkah Beton Sadaya Tbk
100,BEEF,PT Estika Tata Tiara Tbk.
101,BEKS,PT Bank Pembangunan Daerah Banten Tbk.
102,BELL,PT Trisula Textile Industries Tbk
103,BESS,PT Batulicin Nusantara Maritim Tbk.
104,BEST,Bekasi Fajar Industrial Estate Tbk
105,BFIN,BFI Finance Indonesia Tbk
106,BGTG,PT Bank Ganesha Tbk.
107,BHAT,PT Bhakti Multi Artha Tbk.
108,BHIT,PT MNC Investama Tbk.
109,BIKA,PT Binakarya Jaya Abadi Tbk.
110,BIKE,PT Sepeda Bersama Indonesia Tbk
111,BIMA,Primarindo Asia Infrastructure Tbk
112,BINA,PT Bank Ina Perdana Tbk.
113,BINO,PT Perma Plasindo Tbk 
114,BIPI,PT Astrindo Nusantara Infrastruktur Tbk.
115,BIPP,Bhuwanatala Indah Permai Tbk
116,BIRD,PT Blue Bird Tbk
117,BISI,BISI INTERNATIONAL Tbk
118,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
119,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk
120,BKDP,Bukit Darmo Property Tbk
121,BKSL,Sentul City Tbk
122,BKSW,PT Bank QNB Indonesia Tbk
123,BLTA,Berlian Laju Tanker Tbk
124,BLTZ,PT Graha Layar Prima Tbk.
125,BLUE,PT Berkah Prima Perkasa Tbk
126,BMAS,PT Bank Maspion Indonesia Tbk.
127,BMHS,PT Bundamedik Tbk
128,BMRI,PT Bank Mandiri (Persero) Tbk
129,BMSR,Bintang Mitra Semestaraya Tbk
130,BMTR,PT Global Mediacom Tbk
131,BNBA,Bank Bumi Arta Tbk
132,BNBR,Bakrie & Brothers Tbk
133,BNGA,PT Bank CIMB Niaga Tbk
134,BNII,PT Bank Maybank Indonesia Tbk
135,BNLI,Bank Permata Tbk
136,BOBA,PT Formosa Ingredient Factory Tbk
137,BOGA,PT Bintang Oto Global Tbk
138,BOLA,PT Bali Bintang Sejahtera Tbk.
139,BOLT,PT Garuda Metalindo Tbk.
140,BOSS,PT Borneo Olah Sarana Sukses Tbk.
141,BPFI,Batavia Prosperindo Finance Tbk
142,BPII,PT Batavia Prosperindo Internasional Tbk.
143,BPTR,PT Batavia Prosperindo Trans Tbk.
144,BRAM,Indo Kordsa Tbk
145,BRIS,PT Bank Syariah Indonesia Tbk
146,BRMS,Bumi Resources Minerals Tbk
147,BRNA,Berlina Tbk
148,BRPT,Barito Pacific Tbk
149,BSDE,PT Bumi Serpong Damai Tbk
150,BSIM,Bank Sinarmas Tbk
151,BSML,PT Bintang Samudera Mandiri Lines Tbk
152,BSSR,Baramulti Suksessarana Tbk
153,BSWD,Bank of India Indonesia Tbk
154,BTEK,Bumi Teknokultura Unggul Tbk
155,BTEL,Bakrie Telecom Tbk
156,BTON,Betonjaya Manunggal Tbk
157,BTPN,PT Bank BTPN Tbk
158,BTPS,PT Bank BTPN Syariah Tbk.
159,BUAH,PT Segar Kumala Indonesia Tbk
160,BUDI,PT Budi Starch & Sweetener Tbk.
161,BUKA,PT Bukalapak.com Tbk
162,BUKK,Bukaka Teknik Utama Tbk
163,BULL,PT Buana Lintas Lautan Tbk.
164,BUMI,Bumi Resources Tbk
165,BUVA,PT Bukit Uluwatu Villa Tbk
166,BVIC,Bank Victoria International Tbk
167,BWPT,Eagle High Plantations Tbk
168,BYAN,Bayan Resources Tbk
169,CAKK,PT Cahayaputra Asa Keramik Tbk.
170,CAMP,PT Campina Ice Cream Industry Tbk.
171,CANI,PT Capitol Nusantara Indonesia Tbk.
172,CARE,PT Metro Healthcare Indonesia Tbk
173,CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk
174,CASA,PT Capital Financial Indonesia Tbk
175,CASH,PT Cashlez Worldwide Indonesia Tbk.
176,CASS,Cardig Aero Services Tbk
177,CBMF,PT Cahaya Bintang Medan Tbk
178,CCSI,PT Communication Cable Systems Indonesia Tbk.
179,CEKA,PT Wilmar Cahaya Indonesia Tbk.
180,CENT,PT Centratama Telekomunikasi Indonesia Tbk.
181,CFIN,Clipan Finance Indonesia Tbk
182,CHEM,PT Chemstar Indonesia Tbk
183,CINT,PT Chitose Internasional Tbk
184,CITA,Cita Mineral Investindo Tbk
185,CITY,PT Natura City Developments Tbk.
186,CKRA,Cakra Mineral Tbk.
187,CLAY,PT Citra Putra Realty Tbk
188,CLEO,PT Sariguna Primatirta Tbk
189,CLPI,Colorpak Indonesia Tbk
190,CMNP,Citra Marga Nusaphala Persada Tbk
191,CMNT,PT Cemindo Gemilang Tbk
192,CMPP,PT AirAsia Indonesia Tbk
193,CMRY,PT Cisarua Mountain Dairy Tbk
194,CNKO,Exploitasi Energi Indonesia Tbk
195,CNTX,PT Century Textile Industry Tbk
196,COCO,PT Wahana Interfood Nusantara Tbk.
197,COWL,COWELL DEVELOPMENT Tbk
198,CPIN,Charoen Pokphand Indonesia Tbk
199,CPRI,PT Capri Nusa Satu Properti Tbk.
200,CPRO,Central Proteina Prima Tbk
201,CRAB,PT Toba Surimi Industries Tbk
202,CSAP,Catur Sentosa Adiprana Tbk
203,CSIS,PT Cahayasakti Investindo Sukses Tbk
204,CSMI,PT Cipta Selera Murni Tbk.
205,CSRA,PT Cisadane Sawit Raya Tbk.
206,CTBN,Citra Tubindo Tbk
207,CTRA,Ciputra Development Tbk
208,CTTH,Citatah Tbk
209,DADA,PT Diamond Citra Propertindo Tbk.
210,DART,Duta Anggada Realty Tbk
211,DAYA,PT Duta Intidaya Tbk.
212,DCII,PT DCI Indonesia Tbk
213,DEAL,PT Dewata Freightinternational Tbk.
214,DEFI,Danasupra Erapacific Tbk
215,DEPO,PT Caturkarda Depo Bangunan Tbk
216,DEWA,Darma Henwa Tbk
217,DEWI,PT Dewi Shri Farmindo Tbk
218,DFAM,PT Dafam Property Indonesia Tbk
219,DGIK,Nusa Konstruksi Enjiniring  Tbk
220,DGNS,PT Diagnos Laboratorium Utama Tbk
221,DIGI,PT Arkadia Digital Media Tbk
222,DILD,Intiland Development Tbk
223,DIVA,PT Distribusi Voucher Nusantara Tbk
224,DKFT,Central Omega Resources Tbk
225,DLTA,Delta Djakarta Tbk
226,DMAS,PT Puradelta Lestari Tbk.
227,DMMX,PT Digital Mediatama Maxima Tbk
228,DMND,PT Diamond Food Indonesia Tbk.
229,DNAR,PT Bank Oke Indonesia Tbk.
230,DNET,PT Indoritel Makmur Internasional Tbk.
231,DOID,Delta Dunia Makmur Tbk
232,DPNS,Duta Pertiwi Nusantara Tbk
233,DPUM,PT Dua Putra Utama Makmur Tbk.
234,DRMA,PT Dharma Polimetal Tbk
235,DSFI,Dharma Samudera Fishing Ind. Tbk
236,DSNG,PT Dharma Satya Nusantara Tbk.
237,DSSA,Dian Swastatika Sentosa Tbk
238,DUCK,PT Jaya Bersama Indo Tbk.
239,DUTI,Duta Pertiwi Tbk
240,DVLA,Darya-Varia Laboratoria Tbk
241,DWGL,PT Dwi Guna Laksana Tbk
242,DYAN,PT Dyandra Media International Tbk.
243,EAST,PT Eastparc Hotel Tbk
244,ECII,PT Electronic City Indonesia Tbk.
245,EDGE,PT Indointernet Tbk.
246,EKAD,Ekadharma International Tbk
247,ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk
248,ELSA,Elnusa Tbk
249,ELTY,Bakrieland Development Tbk
250,EMDE,Megapolitan Developments Tbk
251,EMTK,Elang Mahkota Teknologi Tbk
252,ENAK,PT Champ Resto Indonesia Tbk
253,ENRG,Energi Mega Persada Tbk
254,ENVY,PT Envy Technologies Indonesia Tbk
255,ENZO,PT Morenzo Abadi Perkasa Tbk
256,EPAC,PT Megalestari Epack Sentosaraya Tbk.
257,EPMT,Enseval Putera Megatrading Tbk
258,ERAA,Erajaya Swasembada Tbk
259,ERTX,Eratex Djaja Tbk
260,ESIP,PT Sinergi Inti Plastindo Tbk.
261,ESSA,Surya Esa Perkasa Tbk
262,ESTA,PT Esta Multi Usaha Tbk.
263,ESTI,Ever Shine Textile Industry Tbk
264,ETWA,Eterindo Wahanatama Tbk
265,EURO,PT Estee Gold Feet Tbk
266,EXCL,PT XL Axiata Tbk
267,FAPA,PT FAP Agri Tbk
268,FAST,PT Fast Food Indonesia Tbk
269,FASW,Fajar Surya Wisesa Tbk
270,FILM,PT MD Pictures Tbk.
271,FIMP,PT Fimperkasa Utama Tbk
272,FIRE,PT Alfa Energi Investama Tbk.
273,FISH,FKS Multi Agro Tbk
274,FITT,PT Hotel Fitra International Tbk
275,FLMC,PT Falmaco Nonwoven Industri Tbk
276,FMII,Fortune Mate Indonesia Tbk
277,FOOD,PT Sentra Food Indonesia Tbk.
278,FORU,Fortune Indonesia Tbk
279,FORZ,PT Forza Land Indonesia Tbk.
280,FPNI,PT Lotte Chemical Titan Tbk.
281,FREN,PT Smartfren Telecom Tbk
282,FUJI,PT Fuji Finance Indonesia Tbk.
283,GAMA,Aksara Global Development Tbk
284,GDST,Gunawan Dianjaya Steel Tbk
285,GDYR,Goodyear Indonesia Tbk
286,GEMA,Gema Grahasarana Tbk
287,GEMS,Golden Energy Mines Tbk
288,GGRM,Gudang Garam Tbk
289,GGRP,PT Gunung Raja Paksi Tbk.
290,GHON,PT Gihon Telekomunikasi Indonesia Tbk
291,GIAA,Garuda Indonesia (Persero) Tbk
292,GJTL,Gajah Tunggal Tbk
293,GLOB,PT Globe Kita Terang Tbk
294,GLVA,PT Galva Technologies Tbk
295,GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.
296,GMTD,Gowa Makassar Tourism Development Tbk
297,GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.
298,GOLL,PT Golden Plantation Tbk
299,GOOD,PT Garudafood Putra Putri Jaya Tbk.
300,GOTO,PT GoTo Gojek Tokopedia Tbk
301,GPRA,Perdana Gapura Prima Tbk
302,GPSO,PT Geoprima Solusi Tbk
303,GSMF,Equity Development Investment Tbk
304,GTBO,Garda Tujuh Buana Tbk
305,GTSI,PT GTS Internasional Tbk
306,GULA,PT Aman Agrindo Tbk
307,GWSA,PT Greenwood Sejahtera Tbk
308,GZCO,Gozco Plantations Tbk
309,HADE,PT Himalaya Energi Perkasa Tbk
310,HAIS,PT Hasnur Internasional Shipping Tbk
311,HATM,PT Habco Trans Maritima Tbk
312,HDFA,Radana Bhaskara Finance Tbk
313,HDIT,PT Hensel Davest Indonesia Tbk
314,HDTX,Panasia Indo Resources Tbk
315,HEAL,PT Medikaloka Hermina Tbk.
316,HELI,PT Jaya Trishindo Tbk
317,HERO,Hero Supermarket Tbk
318,HEXA,Hexindo Adiperkasa Tbk
319,HITS,Humpuss Intermoda Transportasi Tbk
320,HKMU,PT HK Metals Utama Tbk
321,HMSP,HM Sampoerna Tbk
322,HOKI,PT Buyung Poetra Sembada Tbk.
323,HOME,Hotel Mandarine Regency Tbk
324,HOMI,PT Grand House Mulia Tbk
325,HOPE,PT Harapan Duta Pertiwi Tbk.
326,HOTL,Saraswati Griya Lestari Tbk
327,HRME,PT Menteng Heritage Realty Tbk.
328,HRTA,PT Hartadinata Abadi Tbk
329,HRUM,Harum Energy Tbk
330,IATA,PT MNC Energy Investments Tbk
331,IBFN,PT Intan Baru Prana Tbk
332,IBOS,PT Indo Boga Sukses Tbk
333,IBST,Inti Bangun Sejahtera Tbk
334,ICBP,Indofood CBP Sukses Makmur Tbk
335,ICON,Island Concepts Indonesia Tbk
336,IDEA,PT Idea Indonesia Akademi Tbk
337,IDPR,PT Indonesia Pondasi Raya Tbk.
338,IFII,PT Indonesia Fibreboard Industry Tbk
339,IFSH,PT Ifishdeco Tbk.
340,IGAR,Champion Pacific Indonesia Tbk
341,IIKP,Inti Agri Resources Tbk
342,IKAI,Intikeramik Alamasri Industri Tbk
343,IKAN,PT Era Mandiri Cemerlang Tbk
344,IKBI,Sumi Indo Kabel Tbk
345,IMAS,Indomobil Sukses Internasional Tbk
346,IMJS,PT Indomobil Multi Jasa Tbk.
347,IMPC,PT Impack Pratama Industri Tbk
348,INAF,Indofarma Tbk.
349,INAI,Indal Aluminium Industry Tbk
350,INCF,PT Indo Komoditi Korpora Tbk
351,INCI,Intanwijaya Internasional Tbk
352,INCO,Vale Indonesia Tbk
353,INDF,Indofood Sukses Makmur Tbk
354,INDO,PT Royalindo Investa Wijaya Tbk
355,INDR,PT Indo-Rama Synthetics Tbk
356,INDS,Indospring Tbk
357,INDX,Tanah Laut Tbk
358,INDY,Indika Energy Tbk
359,INKP,Indah Kiat Pulp & Paper Tbk
360,INOV,PT Inocycle Technology Group Tbk.
361,INPC,Bank Artha Graha Internasional Tbk
362,INPP,Indonesian Paradise Property Tbk
363,INPS,PT Indah Prakasa Sentosa Tbk.
364,INRU,Toba Pulp Lestari Tbk
365,INTA,Intraco Penta Tbk
366,INTD,Inter-Delta Tbk
367,INTP,Indocement Tunggal Prakarsa Tbk
368,IPAC,PT Era Graharealty Tbk
369,IPCC,PT Indonesia Kendaraan Terminal Tbk.
370,IPCM,PT Jasa Armada Indonesia Tbk.
371,IPOL,Indopoly Swakarsa Industry Tbk
372,IPPE,PT Indo Pureco Pratama Tbk
373,IPTV,PT MNC Vision Networks Tbk.
374,IRRA,PT Itama Ranoraya Tbk.
375,ISAT,PT Indosat Tbk
376,ISSP,PT Steel Pipe Industry of Indonesia Tbk
377,ITIC,PT Indonesian Tobacco Tbk.
378,ITMA,SUMBER ENERGI ANDALAN Tbk
379,ITMG,Indo Tambangraya Megah Tbk
380,JARR,PT Jhonlin Agro Raya Tbk
381,JAST,PT Jasnita Telekomindo Tbk. 
382,JAWA,Jaya Agra Wattie Tbk
383,JAYA,PT Armada Berjaya Trans Tbk.
384,JECC,Jembo Cable Company Tbk
385,JGLE,PT Graha Andrasentra Propertindo Tbk.
386,JIHD,Jakarta International Hotels & Development Tbk
387,JKON,Jaya Konstruksi Manggala Pratama Tbk
388,JKSW,Jakarta Kyoei Steel Works Tbk
389,JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk
390,JPFA,JAPFA Comfeed Indonesia Tbk
391,JRPT,Jaya Real Property Tbk
392,JSKY,PT Sky Energy Indonesia Tbk.
393,JSMR,PT Jasa Marga Tbk
394,JSPT,Jakarta Setiabudi Internasional Tbk
395,JTPE,Jasuindo Tiga Perkasa Tbk
396,KAEF,Kimia Farma Tbk.
397,KARW,ICTSI JASA PRIMA Tbk
398,KAYU,PT Darmi Bersaudara Tbk.
399,KBAG,PT Karya Bersama Anugerah Tbk
400,KBLI,KMI Wire and Cable Tbk
401,KBLM,Kabelindo Murni Tbk
402,KBLV,First Media Tbk
