,KodeEmiten,NamaEmiten
403,KBRI,Kertas Basuki Rachmat Indonesia Tbk
404,KDSI,Kedawung Setia Industrial Tbk
405,KEEN,PT Kencana Energi Lestari Tbk. 
406,KEJU,PT Mulia Boga Raya Tbk
407,KIAS,Keramika Indonesia Assosiasi Tbk
408,KICI,Kedaung Indah Can Tbk
409,KIJA,Kawasan Industri Jababeka Tbk
410,KINO,PT Kino Indonesia Tbk
411,KIOS,PT Kioson Komersial Indonesia Tbk.
412,KJEN,PT Krida Jaringan Nusantara Tbk.
413,KKES,PT Kusuma Kemindo Sentosa Tbk
414,KKGI,Resource Alam Indonesia Tbk
415,KLBF,Kalbe Farma Tbk
416,KLIN,PT Klinko Karya Imaji Tbk
417,KMDS,PT Kurniamitra Duta Sentosa Tbk.
418,KMTR,PT Kirana Megatara Tbk.
419,KOBX,Kobexindo Tractors Tbk
420,KOIN,Kokoh Inti Arebama Tbk
421,KONI,Perdana Bangun Pusaka Tbk
422,KOPI,PT Mitra Energi Persada Tbk
423,KOTA,PT DMS Propertindo Tbk.
424,KPAL,PT Steadfast Marine Tbk
425,KPAS,PT Cottonindo Ariesta Tbk.
426,KPIG,MNC Land Tbk
427,KRAH,PT Grand Kartech Tbk
428,KRAS,Krakatau Steel (Persero) Tbk
429,KREN,PT Kresna Graha Investama Tbk.
430,KRYA,PT Bangun Karya Perkasa Jaya Tbk
431,KUAS,PT Ace Oldfields Tbk
432,LABA,PT Ladangbaja Murni Tbk
433,LAND,PT Trimitra Propertindo Tbk.
434,LAPD,Leyand International Tbk
435,LCGP,PT Eureka Prima Jakarta Tbk.
436,LCKM,PT LCK Global Kedaton Tbk
437,LEAD,PT Logindo Samudramakmur Tbk.
438,LFLO,PT Imago Mulia Persada Tbk
439,LIFE,PT Asuransi Jiwa Sinarmas MSIG Tbk.
440,LINK,PT Link Net Tbk.
441,LION,Lion Metal Works Tbk
442,LMAS,Limas Indonesia Makmur Tbk
443,LMPI,Langgeng Makmur Industri Tbk
444,LMSH,Lionmesh Prima Tbk
445,LPCK,Lippo Cikarang Tbk
446,LPGI,Lippo General Insurance Tbk
447,LPIN,Multi Prima Sejahtera Tbk
448,LPKR,Lippo Karawaci Tbk
449,LPLI,Star Pacific Tbk
450,LPPF,Matahari Department Store Tbk
451,LPPS,PT Lenox Pasifik Investama Tbk
452,LRNA,PT Eka Sari Lorena Transport Tbk.
453,LSIP,PP London Sumatra Indonesia Tbk
454,LTLS,PT Lautan Luas Tbk
455,LUCK,PT Sentral Mitra Informatika Tbk.
456,LUCY,PT Lima Dua Lima Tiga Tbk
457,MABA,PT Marga Abhinaya Abadi Tbk
458,MAGP,Multi Agro Gemilang Plantation Tbk
459,MAIN,Malindo Feedmill Tbk
460,MAMI,Mas Murni Indonesia Tbk
461,MAPA,PT MAP Aktif Adiperkasa Tbk.
462,MAPB,PT MAP Boga Adiperkasa Tbk.
463,MAPI,Mitra Adiperkasa Tbk
464,MARI,PT Mahaka Radio Integra Tbk.
465,MARK,PT Mark Dynamics Indonesia Tbk.
466,MASA,Multistrada Arah Sarana Tbk
467,MASB,PT Bank Multiarta Sentosa Tbk
468,MAYA,PT Bank Mayapada Internasional Tbk
469,MBAP,PT Mitrabara Adiperdana Tbk
470,MBSS,Mitrabahtera Segara Sejati Tbk
471,MBTO,Martina Berto Tbk
472,MCAS,PT M Cash Integrasi Tbk
473,MCOL,PT Prima Andalan Mandiri Tbk
474,MCOR,PT Bank China Construction Bank Indonesia Tbk
475,MDIA,PT Intermedia Capital Tbk.
476,MDKA,PT Merdeka Copper Gold Tbk.
477,MDKI,PT Emdeki Utama Tbk
478,MDLN,PT Modernland Realty Tbk.
479,MDRN,Modern Internasional Tbk
480,MEDC,PT Medco Energi Internasional Tbk
481,MEDS,PT Hetzer Medical Indonesia Tbk
482,MEGA,Bank Mega Tbk
483,MERK,Merck Tbk
484,META,Nusantara Infrastructure Tbk
485,MFIN,PT Mandala Multifinance Tbk.
486,MFMI,Multifiling Mitra Indonesia Tbk
487,MGLV,PT Panca Anugrah Wisesa Tbk
488,MGNA,PT Magna Investama Mandiri Tbk
489,MGRO,PT Mahkota Group Tbk.
490,MICE,Multi Indocitra Tbk
491,MIDI,Midi Utama Indonesia Tbk
492,MIKA,PT Mitra Keluarga Karyasehat Tbk.
493,MINA,PT Sanurhasta Mitra Tbk.
494,MIRA,Mitra International Resources Tbk
495,MITI,Mitra Investindo Tbk
496,MKNT,PT Mitra Komunikasi Nusantara Tbk.
497,MKPI,Metropolitan Kentjana Tbk
498,MLBI,Multi Bintang Indonesia Tbk
499,MLIA,Mulia Industrindo Tbk
500,MLPL,Multipolar Tbk
501,MLPT,PT Multipolar Technology Tbk.
502,MMLP,PT Mega Manunggal Property Tbk.
503,MNCN,Media Nusantara Citra Tbk
504,MOLI,PT Madusari Murni Indah Tbk.
505,MORA,PT Mora Telematika Indonesia Tbk
506,MPMX,PT Mitra Pinasthika Mustika Tbk.
507,MPOW,PT Megapower Makmur Tbk.
508,MPPA,Matahari Putra Prima Tbk
509,MPRO,PT Maha Properti Indonesia Tbk.
510,MRAT,Mustika Ratu Tbk
511,MREI,Maskapai Reasuransi Indonesia Tbk
512,MSIN,PT MNC Digital Entertainment Tbk
513,MSKY,MNC Sky Vision Tbk
514,MTDL,Metrodata Electronics Tbk
515,MTEL,PT Dayamitra Telekomunikasi Tbk
516,MTFN,Capitalinc Investment Tbk
517,MTLA,Metropolitan Land Tbk
518,MTMH,PT Murni Sadar Tbk
519,MTPS,PT Meta Epsi Tbk.
520,MTRA,PT Mitra Pemuda Tbk.
521,MTSM,Metro Realty Tbk
522,MTWI,PT Malacca Trust Wuwungan Insurance Tbk.
523,MYOH,Samindo Resources Tbk
524,MYOR,Mayora Indah Tbk
525,MYRX,Hanson International Tbk
526,MYTX,PT Asia Pacific Investama Tbk.
527,NANO,PT Nanotech Indonesia Global Tbk
528,NASA,PT Andalan Perkasa Abadi Tbk
529,NASI,PT Wahana Inti Makmur Tbk
530,NATO,PT Surya Permata Andalan Tbk
531,NELY,Pelayaran Nelly Dwi Putri Tbk
532,NETV,PT Net Visi Media Tbk
533,NFCX,PT NFC Indonesia Tbk
534,NICK,PT Charnic Capital Tbk.
535,NICL,PT PAM Mineral Tbk
536,NIKL,Pelat Timah Nusantara Tbk
537,NIPS,Nipress Tbk
538,NIRO,City Retail Developments Tbk
539,NISP,PT Bank OCBC NISP Tbk
540,NOBU,PT Bank Nationalnobu Tbk.
541,NPGF,PT Nusa Palapa Gemilang Tbk
542,NRCA,PT Nusa Raya Cipta Tbk.
543,NTBK,PT Nusatama Berkah Tbk
544,NUSA,PT Sinergi Megah Internusa Tbk
545,NZIA,"PT Nusantara Almazia, Tbk."
546,OASA,PT Maharaksa Biru Energi Tbk
547,OBMD,PT OBM Drilchem Tbk
548,OCAP,ONIX CAPITAL Tbk
549,OILS,PT Indo Oil Perkasa Tbk
550,OKAS,Ancora Indonesia Resources Tbk
551,OLIV,PT Oscar Mitra Sukses Sejahtera Tbk
552,OMRE,Indonesia Prima Property Tbk
553,OPMS,PT Optima Prima Metal Sinergi Tbk.
554,PADI,Minna Padi Investama Sekuritas Tbk
555,PALM,Provident Agro Tbk
556,PAMG,PT Bima Sakti Pertiwi Tbk
557,PANI,PT Pratama Abadi Nusa Industri Tbk.
558,PANR,Panorama Sentrawisata Tbk
559,PANS,Panin Sekuritas Tbk
560,PBID,PT Panca Budi Idaman Tbk
561,PBRX,Pan Brothers Tbk
562,PBSA,PT Paramita Bangun Sarana Tbk
563,PCAR,PT Prima Cakrawala Abadi Tbk
564,PDES,Destinasi Tirta Nusantara Tbk
565,PEGE,PT Panca Global Kapital Tbk.
566,PEHA,PT Phapros Tbk
567,PGAS,PT Perusahaan Gas Negara Tbk.
568,PGJO,PT Tourindo Guide Indonesia Tbk.
569,PGLI,Pembangunan Graha Lestari Tbk
570,PGUN,PT Pradiksi Gunatama Tbk
571,PICO,Pelangi Indah Canindo Tbk
572,PJAA,Pembangunan Jaya Ancol Tbk
573,PKPK,Perdana Karya Perkasa Tbk
574,PLAN,PT Planet Properindo Jaya Tbk
575,PLAS,Polaris Investama Tbk
576,PLIN,Plaza Indonesia Realty Tbk
577,PMJS,PT Putra Mandiri Jembar Tbk
578,PMMP,PT Panca Mitra Multiperdana Tbk.
579,PNBN,Bank Pan Indonesia Tbk
580,PNBS,PT Bank Panin Dubai Syariah Tbk.
581,PNGO,PT Pinago Utama Tbk
582,PNIN,Paninvest Tbk
583,PNLF,Panin Financial Tbk
584,PNSE,Pudjiadi & Sons Tbk
585,POLA,PT Pool Advista Finance Tbk.
586,POLI,PT Pollux Hotels Group Tbk
587,POLL,PT Pollux Properties Indonesia Tbk.
588,POLU,PT Golden Flower Tbk.
589,POLY,Asia Pacific Fibers Tbk
590,POOL,Pool Advista Indonesia Tbk
591,PORT,PT Nusantara Pelabuhan Handal Tbk.
592,POSA,PT Bliss Properti Indonesia Tbk.
593,POWR,PT Cikarang Listrindo Tbk.
594,PPGL,PT Prima Globalindo Logistik Tbk.
595,PPRE,PT PP Presisi Tbk.
596,PPRO,PT PP Properti Tbk.
597,PRAS,Prima Alloy Steel Universal Tbk
598,PRDA,PT Prodia Widyahusada Tbk.
599,PRIM,PT Royal Prima Tbk.
600,PSAB,J RESOURCES ASIA PASIFIK Tbk
601,PSDN,Prasidha Aneka Niaga Tbk
602,PSGO,PT Palma Serasih Tbk.
603,PSKT,PT Red Planet Indonesia Tbk
604,PSSI,PT Pelita Samudera Shipping Tbk
605,PTBA,Bukit Asam Tbk
606,PTDU,PT Djasa Ubersakti Tbk
607,PTIS,Indo Straits Tbk
608,PTPP,PP (Persero) Tbk
609,PTPW,PT Pratama Widya Tbk.
610,PTRO,Petrosea Tbk
611,PTSN,Sat Nusapersada Tbk
612,PTSP,Pioneerindo Gourmet International Tbk
613,PUDP,Pudjiadi Prestige Tbk
614,PURA,PT Putra Rajawali Kencana Tbk.
615,PURE,PT Trinitan Metals and Minerals Tbk
616,PURI,PT Puri Global Sukses Tbk
617,PWON,Pakuwon Jati Tbk
618,PYFA,Pyridam Farma Tbk
619,PZZA,PT Sarimelati Kencana Tbk.
620,RAFI,PT Sari Kreasi Boga Tbk
621,RAJA,Rukun Raharja Tbk
622,RALS,Ramayana Lestari Sentosa Tbk
623,RANC,Supra Boga Lestari Tbk
624,RBMS,Ristia Bintang Mahkotasejati Tbk
625,RCCC,PT Utama Radar Cahaya Tbk
626,RDTX,Roda Vivatex Tbk
627,REAL,PT Repower Asia Indonesia Tbk.
628,RELI,Reliance Sekuritas Indonesia Tbk
629,RICY,Ricky Putra Globalindo Tbk
630,RIGS,Rig Tenders Tbk
631,RIMO,PT Rimo International Lestari Tbk.
632,RISE,PT Jaya Sukses Makmur Sentosa Tbk.
633,RMBA,Bentoel International Investama Tbk
634,RMKE,PT RMK Energy Tbk
635,ROCK,PT Rockfields Properti Indonesia Tbk.
636,RODA,Pikko Land Development Tbk
637,RONY,PT Aesler Grup Internasional Tbk
638,ROTI,PT Nippon Indosari Corpindo Tbk
639,RSGK,PT Kedoya Adyaraya Tbk
640,RUIS,Radiant Utama Interinsco Tbk
641,RUNS,PT Global Sukses Solusi Tbk
642,SAFE,Steady Safe Tbk
643,SAME,Sarana Meditama Metropolitan Tbk
644,SAMF,PT Saraswanti Anugerah Makmur Tbk.
645,SAPX,PT Satria Antaran Prima Tbk.
646,SATU,PT Kota Satu Properti Tbk.
647,SBAT,PT Sejahtera Bintang Abadi Textile Tbk.
648,SBMA,PT Surya Biru Murni Acetylene Tbk
649,SCCO,PT Supreme Cable Manufacturing & Commerce Tbk
650,SCMA,Surya Citra Media Tbk
651,SCNP,PT Selaras Citra Nusantara Perkasa Tbk
652,SCPI,PT Organon Pharma Indonesia Tbk
653,SDMU,Sidomulyo Selaras Tbk
654,SDPC,Millennium Pharmacon International Tbk
655,SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk
656,SEMA,PT Semacom Integrated Tbk
657,SFAN,PT Surya Fajar Capital Tbk
658,SGER,PT Sumber Global Energy Tbk.
659,SGRO,PT Sampoerna Agro Tbk
660,SHID,Hotel Sahid Jaya Tbk
661,SHIP,PT Sillo Maritime Perdana Tbk
662,SICO,PT Sigma Energy Compressindo Tbk
663,SIDO,PT Industri Jamu Dan Farmasi Sido Muncul Tbk
664,SILO,PT Siloam International Hospitals Tbk.
665,SIMA,Siwani Makmur Tbk
666,SIMP,Salim Ivomas Pratama Tbk
667,SINI,PT Singaraja Putra Tbk.
668,SIPD,PT Sreeya Sewu Indonesia Tbk
669,SKBM,Sekar Bumi Tbk
670,SKLT,Sekar Laut Tbk
671,SKRN,PT Superkrane Mitra Utama Tbk
672,SKYB,PT Northcliff Citranusa Indonesia Tbk.
673,SLIS,PT Gaya Abadi Sempurna Tbk
674,SMAR,PT Sinar Mas Agro Resources and Technology Tbk
675,SMBR,PT Semen Baturaja (Persero) Tbk
676,SMCB,PT Solusi Bangun Indonesia Tbk
677,SMDM,Suryamas Dutamakmur Tbk
678,SMDR,Samudera Indonesia Tbk
679,SMGR,Semen Indonesia (Persero) Tbk
680,SMKL,PT Satyamitra Kemas Lestari Tbk
681,SMKM,PT Sumber Mas Konstruksi Tbk
682,SMMA,PT Sinar Mas Multiartha Tbk
683,SMMT,GOLDEN EAGLE ENERGY Tbk
684,SMRA,PT Summarecon Agung Tbk
685,SMRU,SMR Utama Tbk
686,SMSM,Selamat Sempurna Tbk
687,SNLK,PT Sunter Lakeside Hotel Tbk.
688,SOCI,PT Soechi Lines Tbk. 
689,SOFA,PT Boston Furniture Industries Tbk..
690,SOHO,PT Soho Global Health Tbk
691,SONA,Sona Topas Tourism Industry Tbk
692,SOSS,PT Shield On Service Tbk.
693,SOTS,PT Satria Mega Kencana Tbk.
694,SPMA,Suparma Tbk
695,SPTO,PT Surya Pertiwi Tbk
696,SQMI,Wilton Makmur Indonesia Tbk
697,SRAJ,Sejahteraraya Anugrahjaya Tbk
698,SRIL,PT Sri Rejeki Isman Tbk
699,SRSN,Indo Acidatama Tbk
700,SRTG,PT Saratoga Investama Sedaya Tbk.
701,SSIA,PT Surya Semesta Internusa Tbk
702,SSMS,PT Sawit Sumbermas Sarana Tbk. 
703,SSTM,Sunson Textile Manufacturer Tbk
704,STAA,PT Sumber Tani Agung Resources Tbk
705,STAR,PT Buana Artha Anugerah Tbk.
706,STTP,PT Siantar Top Tbk
707,SUGI,Sugih Energy Tbk
708,SULI,PT SLJ Global Tbk
709,SUPR,Solusi Tunas Pratama Tbk
710,SURE,PT Super Energy Tbk.
711,SWAT,PT Sriwahana Adityakarta Tbk.
712,SWID,PT Saraswanti Indoland Development Tbk
713,TALF,PT Tunas Alfin Tbk
714,TAMA,PT Lancartama Sejati Tbk.
715,TAMU,PT Pelayaran Tamarin Samudra Tbk.
716,TAPG,PT Triputra Agro Persada Tbk.
717,TARA,PT Agung Semesta Sejahtera Tbk
718,TAXI,Express Transindo Utama Tbk
719,TAYS,PT Jaya Swarasa Agung Tbk
720,TBIG,PT Tower Bersama Infrastructure Tbk
721,TBLA,Tunas Baru Lampung Tbk
722,TBMS,Tembaga Mulia Semanan Tbk
723,TCID,Mandom Indonesia Tbk
724,TCPI,PT Transcoal Pacific Tbk.
725,TDPM,PT Tridomain Performance Materials Tbk.
726,TEBE,PT Dana Brata Luhur Tbk.
727,TECH,PT Indosterling Technomedia Tbk
728,TELE,PT Omni Inovasi Indonesia Tbk
729,TFAS,PT Telefast Indonesia Tbk.
730,TFCO,Tifico Fiber Indonesia Tbk
731,TGKA,Tigaraksa Satria Tbk
732,TGRA,PT Terregra Asia Energy
733,TIFA,KDB Tifa Finance Tbk
734,TINS,PT Timah Tbk. 
735,TIRA,Tira Austenite Tbk
736,TIRT,Tirta Mahakam Resources Tbk
737,TKGA,PT Permata Prima Sakti Tbk.
738,TKIM,Pabrik Kertas Tjiwi Kimia Tbk
739,TLDN,PT Teladan Prima Agro Tbk
740,TLKM,PT Telkom Indonesia (Persero) Tbk
741,TMAS,PT Temas Tbk.
742,TMPI,AGIS Tbk
743,TMPO,Tempo Inti Media Tbk
744,TNCA,PT Trimuda Nuansa Citra Tbk.
745,TOBA,PT TBS Energi Utama Tbk
746,TOOL,PT Rohartindo Nusantara Luas Tbk
747,TOPS,PT Totalindo Eka Persada Tbk.
748,TOTL,Total Bangun Persada Tbk
749,TOTO,Surya Toto Indonesia Tbk
750,TOWR,Sarana Menara Nusantara Tbk
751,TOYS,PT Sunindo Adipersada Tbk.
752,TPIA,PT Chandra Asri Petrochemical Tbk
753,TPMA,Trans Power Marine Tbk
754,TRAM,Trada Alam Minera Tbk.
755,TRGU,PT Cerestar Indonesia Tbk
756,TRIL,Triwira Insanlestari Tbk
757,TRIM,PT Trimegah Sekuritas Indonesia Tbk
758,TRIN,PT Perintis Triniti Properti Tbk
759,TRIO,Trikomsel Oke Tbk
760,TRIS,Trisula International Tbk
761,TRJA,PT Transkon Jaya Tbk.
762,TRST,Trias Sentosa Tbk
763,TRUE,PT Triniti Dinamik Tbk
764,TRUK,PT Guna Timur Raya Tbk.
765,TRUS,Trust Finance Indonesia Tbk
766,TSPC,Tempo Scan Pacific Tbk
767,TUGU,PT Asuransi Tugu Pratama Indonesia Tbk
768,TURI,Tunas Ridean Tbk
769,UANG,PT Pakuan Tbk
770,UCID,PT Uni-Charm Indonesia Tbk.
771,UFOE,PT Damai Sejahtera Abadi Tbk
772,ULTJ,Ultra Jaya Milk Industry Tbk
773,UNIC,Unggul Indah Cahaya Tbk
774,UNIQ,PT Ulima Nitra Tbk
775,UNIT,Nusantara Inti Corpora Tbk
776,UNSP,Bakrie Sumatera Plantations Tbk
777,UNTR,United Tractors Tbk
778,UNVR,Unilever Indonesia Tbk
779,URBN,PT Urban Jakarta Propertindo Tbk.
780,UVCR,PT Trimegah Karya Pratama Tbk.
781,VICI,PT Victoria Care Indonesia Tbk
782,VICO,PT Victoria Investama Tbk.
783,VINS,PT Victoria Insurance Tbk.
784,VIVA,PT Visi Media Asia Tbk
785,VOKS,Voksel Electric Tbk
786,VRNA,Verena Multi Finance Tbk
787,WAPO,Wahana Pronatural Tbk
788,WEGE,PT Wijaya Karya Bangunan Gedung Tbk.
789,WEHA,PT WEHA Transportasi Indonesia Tbk
790,WGSH,PT Wira Global Solusi Tbk
791,WICO,Wicaksana Overseas International Tbk
792,WIFI,PT Solusi Sinergi Digital Tbk
793,WIIM,Wismilak Inti Makmur Tbk
794,WIKA,PT Wijaya Karya (Persero) Tbk
795,WINR,PT Winner Nusantara Jaya Tbk
796,WINS,Wintermar Offshore Marine Tbk
797,WIRG,PT WIR ASIA Tbk
798,WMPP,PT Widodo Makmur Perkasa Tbk
799,WMUU,PT Widodo Makmur Unggas Tbk
800,WOMF,PT Wahana Ottomitra Multiartha Tbk
801,WOOD,PT Integra Indocabinet Tbk
802,WOWS,PT Ginting Jaya Energi Tbk
803,WSBP,PT Waskita Beton Precast Tbk.
804,WSKT,PT Waskita Karya (Persero) Tbk
805,WTON,Wijaya Karya Beton
806,YELO,PT Yelooo Integra Datanet Tbk.
807,YPAS,Yanaprima Hastapersada Tbk
808,YULE,Yulie Sekuritas Indonesia Tbk
809,ZBRA,PT Dosni Roha Indonesia Tbk
810,ZINC,PT Kapuas Prima Coal Tbk
811,ZONE,PT Mega Perintis Tbk.
812,ZYRX,PT Zyrexindo Mandiri Buana Tbk
